Time (s)	Throttle (u)	Thrust (N)
0.000	100	0.069035
0.007	100	0.074376
0.018	100	0.062934
0.030	999	0.087852
0.042	999	0.377200
0.054	999	1.039077
0.065	999	1.840788
0.077	999	2.545038
0.089	999	3.094546
0.101	999	3.498743
0.112	999	3.787219
0.125	999	3.979797
0.136	999	4.115855
0.148	999	4.194388
0.159	999	4.236873
0.172	999	4.275894
0.183	999	4.298689
0.195	999	4.306779
0.206	999	4.313641
0.219	999	4.325709
0.230	999	4.329039
0.241	999	4.329374
0.254	999	4.328569
0.265	999	4.328346
0.277	999	4.324278
0.288	999	4.316792
0.301	999	4.321194
0.312	999	4.316747
0.324	999	4.313976
0.336	999	4.315987
0.348	999	4.314467
0.359	999	4.310065
0.371	999	4.298466
0.383	999	4.305081
0.395	999	4.305729
0.406	999	4.301550
0.418	999	4.303137
0.430	999	4.298913
0.442	999	4.299494
0.453	999	4.299583
0.466	999	4.302354
0.477	999	4.296432
0.489	999	4.291046
0.500	999	4.298198
0.513	999	4.297214
0.524	999	4.294242
0.535	999	4.290800
0.547	999	4.283045
0.559	999	4.279089
0.571	999	4.282978
0.582	999	4.281190
0.595	999	4.278419
0.606	999	4.272094
0.618	999	4.277570
0.629	999	4.277726
0.642	999	4.277816
0.653	999	4.278039
0.665	999	4.275826
0.677	999	4.273972
0.689	999	4.271156
0.700	999	4.270530
0.712	999	4.271022
0.724	999	4.260160
0.736	999	4.249209
0.747	999	4.251243
0.759	999	4.258529
0.771	999	4.254305
0.783	999	4.248136
0.794	999	4.244762
0.807	999	4.249187
0.818	999	4.249880
0.830	999	4.247869
0.841	999	4.239666
0.853	999	4.243242
0.865	999	4.249791
0.876	999	4.244494
0.888	999	4.246394
0.900	999	4.246036
0.912	999	4.242885
0.923	999	4.247645
0.936	999	4.250684
0.947	999	4.243533
0.959	999	4.239734
0.970	999	4.238214
0.983	999	4.232157
0.994	999	4.231956
1.006	999	4.236269
1.017	999	4.235823
1.030	999	4.233878
1.041	999	4.230302
1.053	999	4.231308
1.065	999	4.228425
1.077	999	4.225766
1.088	999	4.227353
1.100	999	4.229699
1.112	999	4.224000
1.124	999	4.217921
1.135	999	4.221385
1.148	999	4.221028
1.159	999	4.216603
1.170	999	4.214793
1.182	999	4.218525
1.194	999	4.226034
1.206	999	4.215284
1.217	999	4.206926
1.229	999	4.212669
1.241	999	4.211731
1.253	999	4.210368
1.264	999	4.204512
1.277	999	4.203171
1.288	999	4.207931
1.300	999	4.208267
1.311	999	4.204043
1.324	999	4.204356
1.335	999	4.200154
1.347	999	4.194478
1.358	999	4.196668
1.371	999	4.195796
1.382	999	4.191818
1.394	999	4.201182
1.406	999	4.193941
1.418	999	4.193048
1.429	999	4.186164
1.441	999	4.187818
1.453	999	4.192466
1.465	999	4.191304
1.476	999	4.185292
1.488	999	4.175705
1.500	999	4.175615
1.511	999	4.178811
1.523	999	4.178655
1.535	999	4.174140
1.547	999	4.168307
1.558	999	4.177515
1.570	999	4.178342
1.582	999	4.176599
1.594	999	4.180152
1.605	999	4.175012
1.618	999	4.174632
1.629	999	4.178454
1.641	999	4.174744
1.652	999	4.164374
1.665	999	4.164374
1.676	999	4.161581
1.688	999	4.160686
1.699	999	4.159949
1.712	999	4.165179
1.723	999	4.169246
1.735	999	4.168576
1.747	999	4.174297
1.759	999	4.164575
1.770	999	4.160820
1.781	999	4.154876
1.794	999	4.152261
1.805	999	4.152775
1.817	999	4.155613
1.829	999	4.158720
1.841	999	4.161536
1.852	999	4.155949
1.864	999	4.152038
1.876	999	4.153580
1.888	999	4.154139
1.899	999	4.150384
1.911	999	4.149490
1.923	999	4.154407
1.935	999	4.153490
1.946	999	4.147613
1.959	999	4.144886
1.970	999	4.144193
1.982	999	4.141735
1.993	999	4.146138
2.006	999	4.142137
2.017	999	4.127812
2.029	999	4.132349
2.040	999	4.141869
2.053	999	4.142271
2.064	999	4.143992
2.076	999	4.134762
2.088	999	4.131678
2.100	999	4.128482
2.111	999	4.127499
2.122	999	4.130382
2.135	999	4.133645
2.146	999	4.132729
2.158	999	4.128728
2.169	999	4.124348
