Time (s)	Throttle (u)	Thrust (N)
0.000	100	0.056520
0.005	100	0.064297
0.016	100	0.063112
0.028	300	0.058285
0.039	300	0.112659
0.052	300	0.208311
0.063	300	0.298667
0.075	300	0.372820
0.087	300	0.433876
0.099	300	0.472316
0.110	300	0.506129
0.122	300	0.531919
0.134	300	0.546178
0.146	300	0.556525
0.157	300	0.566917
0.168	300	0.572571
0.181	300	0.573979
0.192	300	0.575723
0.204	300	0.573622
0.216	300	0.578583
0.228	300	0.575142
0.239	300	0.575611
0.251	300	0.578472
0.263	300	0.586428
0.275	300	0.578762
0.286	300	0.575723
0.299	300	0.574471
0.310	300	0.576751
0.322	300	0.583522
0.333	300	0.584372
0.346	300	0.578494
0.357	300	0.575566
0.369	300	0.575790
0.380	300	0.576281
0.393	300	0.585243
0.404	300	0.583120
0.416	300	0.574762
0.428	300	0.579231
0.439	300	0.575164
0.451	300	0.574471
0.462	300	0.577220
0.475	300	0.577287
0.486	300	0.578762
0.498	300	0.571655
0.509	300	0.578159
0.522	300	0.577667
0.533	300	0.583276
0.545	300	0.578181
0.557	300	0.577980
0.569	300	0.581533
0.580	300	0.584975
0.592	300	0.584260
0.604	300	0.582964
0.616	300	0.576483
0.627	300	0.575767
0.640	300	0.579835
0.651	300	0.580706
0.663	300	0.583589
0.674	300	0.580282
0.687	300	0.576237
0.698	300	0.575387
0.709	300	0.575209
0.721	300	0.569286
0.733	300	0.571454
0.745	300	0.573756
0.756	300	0.576326
0.769	300	0.578561
0.780	300	0.575119
0.792	300	0.575767
0.803	300	0.576483
0.816	300	0.579723
0.827	300	0.573063
0.839	300	0.572259
0.850	300	0.582897
0.863	300	0.583545
0.874	300	0.575008
0.886	300	0.574471
0.898	300	0.576192
0.910	300	0.581578
0.921	300	0.579567
0.933	300	0.576773
0.945	300	0.569242
0.957	300	0.572884
0.968	300	0.579053
0.979	300	0.580751
0.992	300	0.576125
1.003	300	0.575611
1.015	300	0.579053
1.027	300	0.579745
1.039	300	0.582137
1.050	300	0.579835
1.062	300	0.575745
1.074	300	0.573555
1.086	300	0.576572
1.097	300	0.582159
1.110	300	0.583858
1.121	300	0.580215
1.133	300	0.580394
1.144	300	0.573398
1.157	300	0.574784
1.168	300	0.569130
1.180	300	0.569085
1.191	300	0.574784
1.204	300	0.575410
1.215	300	0.575656
1.226	300	0.568817
1.239	300	0.567029
1.251	300	0.578002
1.262	300	0.576483
1.273	300	0.572125
1.286	300	0.578002
1.297	300	0.577175
1.309	300	0.583031
1.320	300	0.578092
1.333	300	0.568839
1.344	300	0.571432
1.356	300	0.576751
1.368	300	0.572348
1.380	300	0.575387
1.391	300	0.578203
1.403	300	0.578963
1.415	300	0.580684
1.427	300	0.579745
1.438	300	0.575365
1.451	300	0.578293
1.462	300	0.584483
1.474	300	0.575142
1.485	300	0.568661
1.497	300	0.572460
1.509	300	0.579321
1.520	300	0.576661
1.532	300	0.571812
1.544	300	0.576170
1.556	300	0.574493
1.567	300	0.571275
1.580	300	0.573063
1.591	300	0.579097
1.603	300	0.581422
1.614	300	0.583612
1.627	300	0.581444
1.638	300	0.582226
1.650	300	0.584215
1.661	300	0.577332
1.674	300	0.583723
1.685	300	0.586204
1.697	300	0.582628
1.709	300	0.577667
1.721	300	0.580259
1.732	300	0.587277
1.744	300	0.580997
1.756	300	0.577287
1.767	300	0.578025
1.779	300	0.576684
1.791	300	0.584506
1.803	300	0.580863
1.814	300	0.574650
1.826	300	0.569912
1.838	300	0.577801
1.850	300	0.577667
1.861	300	0.574650
1.873	300	0.575231
1.885	300	0.573778
1.897	300	0.583053
1.908	300	0.580639
1.921	300	0.577689
1.932	300	0.579879
1.944	300	0.579142
1.955	300	0.579187
1.968	300	0.575946
1.979	300	0.573331
1.991	300	0.571767
2.002	300	0.568459
2.015	300	0.568258
2.026	300	0.577131
2.037	300	0.582807
2.050	300	0.572393
2.061	300	0.571633
2.073	300	0.572639
2.084	300	0.578673
2.097	300	0.576259
2.108	300	0.576170
2.120	300	0.577421
2.131	300	0.573868
2.144	300	0.575499
2.155	300	0.569443
2.167	300	0.571164
2.179	300	0.570113
2.191	300	0.575410
2.202	300	0.582003
2.214	300	0.579969
2.226	300	0.581757
2.238	300	0.577220
2.249	300	0.579008
2.262	300	0.582293
2.273	300	0.590607
2.285	300	0.586361
2.296	300	0.570337
2.309	300	0.573778
2.320	300	0.581042
2.331	300	0.581399
2.343	300	0.576639
2.355	300	0.583254
2.367	300	0.584014
2.378	300	0.585534
2.391	300	0.582561
2.402	300	0.568929
2.414	300	0.568102
2.425	300	0.576281
2.438	300	0.580259
2.449	300	0.579611
2.461	300	0.581086
2.472	300	0.576907
2.485	300	0.574493
2.496	300	0.577399
2.508	300	0.578270
2.520	300	0.585735
2.532	300	0.571164
2.543	300	0.569264
2.555	300	0.578807
2.567	300	0.578695
2.579	300	0.571521
2.590	300	0.572840
2.602	300	0.574248
2.614	300	0.584059
2.625	300	0.578829
2.637	300	0.572125
2.649	300	0.573086
2.661	300	0.570985
2.672	300	0.570560
2.684	300	0.572795
2.696	300	0.579567
2.708	300	0.581220
2.719	300	0.579477
2.732	300	0.578717
2.743	300	0.579343
2.755	300	0.577376
2.766	300	0.577086
2.779	300	0.574628
2.790	300	0.575857
2.802	300	0.575812
2.813	300	0.580326
2.826	300	0.578270
2.837	300	0.577198
2.848	300	0.575611
2.861	300	0.574628
2.873	300	0.580662
2.884	300	0.581801
2.895	300	0.581019
2.908	300	0.582874
