Time (s)	Throttle (u)	Thrust (N)
0.001	100	0.074667
0.006	100	0.078868
0.018	100	0.064699
0.030	700	0.100167
0.042	700	0.350896
0.053	700	0.805086
0.064	700	1.277760
0.077	700	1.656636
0.088	700	1.944955
0.100	700	2.141958
0.111	700	2.288185
0.124	700	2.384575
0.135	700	2.454459
0.147	700	2.505772
0.159	700	2.536166
0.171	700	2.560190
0.182	700	2.574069
0.194	700	2.584617
0.206	700	2.588528
0.218	700	2.593266
0.229	700	2.602139
0.241	700	2.602273
0.253	700	2.595099
0.265	700	2.588551
0.276	700	2.593199
0.289	700	2.592149
0.300	700	2.588707
0.312	700	2.587880
0.323	700	2.597736
0.336	700	2.607614
0.347	700	2.604910
0.358	700	2.589288
0.371	700	2.586495
0.382	700	2.589311
0.394	700	2.598541
0.405	700	2.591881
0.418	700	2.592015
0.429	700	2.590584
0.441	700	2.594719
0.452	700	2.592506
0.465	700	2.584327
0.476	700	2.581511
0.488	700	2.585914
0.500	700	2.579432
0.512	700	2.577309
0.523	700	2.583567
0.535	700	2.582785
0.547	700	2.583031
0.559	700	2.580550
0.570	700	2.581332
0.582	700	2.582852
0.594	700	2.577153
0.606	700	2.578136
0.617	700	2.578918
0.630	700	2.584059
0.641	700	2.592596
0.652	700	2.589467
0.664	700	2.574672
0.676	700	2.569599
0.688	700	2.575521
0.699	700	2.574561
0.712	700	2.574940
0.723	700	2.574449
0.735	700	2.568750
0.746	700	2.567342
0.759	700	2.565420
0.770	700	2.559542
0.782	700	2.563051
0.793	700	2.569622
0.806	700	2.570247
0.817	700	2.561330
0.829	700	2.560526
0.841	700	2.563632
0.853	700	2.561733
0.864	700	2.560079
0.876	700	2.567588
0.888	700	2.565800
0.900	700	2.569331
0.911	700	2.563923
0.922	700	2.555229
0.935	700	2.562448
0.946	700	2.566180
0.958	700	2.555944
0.970	700	2.556346
0.982	700	2.556212
0.993	700	2.558671
1.005	700	2.563275
1.017	700	2.566090
1.029	700	2.561822
1.040	700	2.558358
1.052	700	2.559878
1.064	700	2.557508
1.076	700	2.556905
1.087	700	2.564660
1.100	700	2.561442
1.111	700	2.550893
1.123	700	2.547720
1.134	700	2.548681
1.147	700	2.549619
1.158	700	2.554514
1.170	700	2.554871
1.182	700	2.550469
1.194	700	2.551944
1.205	700	2.557955
1.216	700	2.561978
1.229	700	2.562090
1.240	700	2.558090
1.252	700	2.552056
1.263	700	2.553463
1.276	700	2.551206
1.287	700	2.549262
1.299	700	2.550066
1.311	700	2.555520
1.323	700	2.549195
1.334	700	2.545485
1.346	700	2.550513
1.358	700	2.551273
1.370	700	2.549105
1.381	700	2.547139
1.393	700	2.548122
1.405	700	2.551273
1.417	700	2.557352
1.428	700	2.549463
1.441	700	2.547496
1.452	700	2.546468
1.464	700	2.547094
1.475	700	2.552815
1.488	700	2.547340
1.499	700	2.547675
1.510	700	2.542825
1.523	700	2.544524
1.534	700	2.544636
1.546	700	2.541797
1.557	700	2.542714
1.570	700	2.540837
1.581	700	2.549240
1.593	700	2.544189
1.604	700	2.540256
1.617	700	2.545530
1.628	700	2.543742
1.640	700	2.539808
1.652	700	2.533998
1.664	700	2.532210
1.675	700	2.539250
1.687	700	2.533976
1.699	700	2.532366
1.711	700	2.538736
1.722	700	2.541462
1.734	700	2.539853
1.746	700	2.537484
1.758	700	2.530802
1.769	700	2.533417
1.782	700	2.531562
1.793	700	2.533327
1.804	700	2.531025
1.816	700	2.528277
1.828	700	2.530310
1.840	700	2.537328
1.851	700	2.543496
1.864	700	2.539987
1.875	700	2.532567
1.887	700	2.532858
1.898	700	2.528008
1.911	700	2.526668
1.922	700	2.532433
1.934	700	2.535853
1.945	700	2.533238
1.958	700	2.535607
1.969	700	2.532523
1.981	700	2.533819
1.993	700	2.538043
2.005	700	2.531450
2.016	700	2.529014
2.028	700	2.529193
2.040	700	2.528209
2.052	700	2.527427
2.063	700	2.527249
2.075	700	2.533707
2.087	700	2.533797
2.098	700	2.529863
2.110	700	2.526355
2.122	700	2.520767
2.134	700	2.517035
2.145	700	2.522198
2.157	700	2.523919
2.169	700	2.522935
2.181	700	2.527919
2.192	700	2.519002
2.204	700	2.521371
2.216	700	2.528165
2.228	700	2.521103
2.239	700	2.514242
2.252	700	2.519248
2.263	700	2.532679
2.275	700	2.536389
2.286	700	2.524164
2.299	700	2.522131
2.310	700	2.528567
2.322	700	2.524500
2.334	700	2.523069
2.346	700	2.522533
2.357	700	2.525103
2.369	700	2.522824
2.381	700	2.530221
2.392	700	2.520879
2.404	700	2.519382
2.415	700	2.529036
2.428	700	2.532880
2.439	700	2.534646
2.451	700	2.524030
2.463	700	2.516499
2.475	700	2.525997
2.486	700	2.527919
2.498	700	2.517840
2.510	700	2.509951
2.522	700	2.508297
2.533	700	2.510129
2.545	700	2.516275
2.557	700	2.522578
2.569	700	2.520276
2.580	700	2.521997
2.593	700	2.523338
2.604	700	2.517884
2.616	700	2.518153
2.627	700	2.515627
2.640	700	2.513839
2.651	700	2.515113
2.662	700	2.515113
2.675	700	2.514398
2.686	700	2.517683
2.698	700	2.520253
2.709	700	2.516499
2.722	700	2.511649
2.733	700	2.510532
2.745	700	2.510845
2.756	700	2.516074
2.769	700	2.514599
2.780	700	2.517415
2.792	700	2.519605
2.804	700	2.517192
2.816	700	2.512700
2.827	700	2.511672
2.839	700	2.514175
2.851	700	2.510420
2.863	700	2.508342
2.874	700	2.512856
2.886	700	2.511493
2.898	700	2.508856
2.910	700	2.511090
2.921	700	2.519292
2.934	700	2.515292
2.945	700	2.508453
2.956	700	2.511202
2.968	700	2.512119
2.980	700	2.511895
2.992	700	2.512633
3.003	700	2.503916
3.016	700	2.501771
3.027	700	2.504922
3.039	700	2.501592
3.050	700	2.506799
3.063	700	2.512700
3.074	700	2.507336
3.086	700	2.506487
3.097	700	2.506732
3.110	700	2.500229
3.121	700	2.502509
3.133	700	2.512387
3.145	700	2.512454
3.157	700	2.504475
3.168	700	2.501928
3.180	700	2.504319
3.192	700	2.501793
3.204	700	2.503760
3.215	700	2.502866
3.226	700	2.500743
3.239	700	2.495290
3.250	700	2.503358
3.262	700	2.508789
3.274	700	2.503872
3.286	700	2.502375
3.297	700	2.501905
3.309	700	2.501682
3.321	700	2.502173
3.333	700	2.495737
3.344	700	2.506442
3.356	700	2.504431
3.368	700	2.498642
3.380	700	2.502933
3.391	700	2.506062
3.404	700	2.507582
3.415	700	2.507090
3.427	700	2.512163
3.438	700	2.513370
3.451	700	2.505950
3.462	700	2.504274
3.474	700	2.506643
3.486	700	2.506397
3.498	700	2.498307
3.509	700	2.502710
3.520	700	2.506755
3.533	700	2.499112
3.544	700	2.491759
3.556	700	2.505637
3.567	700	2.508967
3.580	700	2.509660
3.591	700	2.510085
3.603	700	2.505235
3.615	700	2.500140
3.627	700	2.501123
3.638	700	2.506330
3.650	700	2.504051
3.662	700	2.494888
3.674	700	2.503648
3.685	700	2.512230
3.697	700	2.505548
3.709	700	2.499424
3.721	700	2.510867
3.732	700	2.509370
3.745	700	2.504140
3.756	700	2.501615
3.768	700	2.504475
3.779	700	2.507850
3.792	700	2.496586
