Time (s)	Throttle (u)	Thrust (N)
0.000	100	0.075136
0.012	100	0.071851
0.024	100	0.059581
0.035	600	0.069951
0.048	600	0.293795
0.059	600	0.637382
0.071	600	0.976165
0.082	600	1.279101
0.095	600	1.513493
0.106	600	1.672079
0.117	600	1.797633
0.129	600	1.889196
0.142	600	1.938385
0.153	600	1.977003
0.164	600	2.003598
0.177	600	2.023041
0.188	600	2.028919
0.200	600	2.036585
0.211	600	2.048318
0.224	600	2.049391
0.235	600	2.042909
0.247	600	2.041345
0.258	600	2.046686
0.271	600	2.051648
0.282	600	2.048563
0.294	600	2.048228
0.306	600	2.057324
0.318	600	2.052027
0.329	600	2.049837
0.341	600	2.046932
0.353	600	2.048832
0.365	600	2.056922
0.376	600	2.049279
0.389	600	2.042976
0.400	600	2.048966
0.411	600	2.051424
0.423	600	2.050195
0.436	600	2.042820
0.447	600	2.038305
0.458	600	2.037993
0.470	600	2.041881
0.482	600	2.048340
0.494	600	2.045725
0.505	600	2.041725
0.518	600	2.038194
0.529	600	2.035445
0.541	600	2.035020
0.552	600	2.033031
0.565	600	2.040473
0.576	600	2.044921
0.588	600	2.047670
0.599	600	2.045859
0.612	600	2.044250
0.623	600	2.042127
0.635	600	2.040540
0.647	600	2.038797
0.659	600	2.033769
0.670	600	2.033836
0.682	600	2.037970
0.694	600	2.040563
0.706	600	2.039378
0.717	600	2.039244
0.728	600	2.030886
0.741	600	2.034394
0.752	600	2.039378
0.764	600	2.027467
0.776	600	2.031668
0.788	600	2.031467
0.799	600	2.035400
0.811	600	2.031601
0.823	600	2.031109
0.835	600	2.031131
0.846	600	2.028405
0.859	600	2.028964
0.870	600	2.021119
0.882	600	2.022907
0.893	600	2.029835
0.906	600	2.031579
0.917	600	2.031154
0.929	600	2.029902
0.940	600	2.034283
0.953	600	2.026997
0.964	600	2.027556
0.976	600	2.025410
0.988	600	2.031802
1.000	600	2.028584
1.011	600	2.021879
1.022	600	2.022393
1.035	600	2.028450
1.046	600	2.032227
1.058	600	2.032942
1.069	600	2.028271
1.082	600	2.027489
1.093	600	2.029992
1.105	600	2.028293
1.117	600	2.022416
1.129	600	2.020650
1.140	600	2.023689
1.152	600	2.025254
1.164	600	2.025857
1.176	600	2.030774
1.187	600	2.025611
1.200	600	2.022460
1.211	600	2.020874
1.223	600	2.023980
1.234	600	2.025880
1.247	600	2.028070
1.258	600	2.032160
1.269	600	2.027288
1.281	600	2.031310
1.294	600	2.026260
1.305	600	2.018214
1.316	600	2.016314
1.329	600	2.018549
1.340	600	2.023779
1.352	600	2.028472
1.363	600	2.025656
1.376	600	2.029701
1.387	600	2.022952
1.399	600	2.013253
1.410	600	2.013834
1.423	600	2.025969
1.434	600	2.030997
1.446	600	2.027422
1.458	600	2.019667
1.470	600	2.023913
1.481	600	2.028517
1.493	600	2.030059
1.505	600	2.018527
1.517	600	2.013029
1.528	600	2.015912
1.541	600	2.018460
1.552	600	2.020248
1.563	600	2.028092
1.575	600	2.026617
1.587	600	2.029143
1.599	600	2.027936
1.610	600	2.021566
1.622	600	2.022080
1.634	600	2.026237
1.646	600	2.026215
1.657	600	2.019510
1.670	600	2.020181
1.681	600	2.018192
1.693	600	2.018393
1.704	600	2.013543
1.717	600	2.020136
1.728	600	2.026483
1.740	600	2.022416
1.751	600	2.016493
1.764	600	2.018460
1.775	600	2.021544
1.787	600	2.018706
1.799	600	2.020851
1.811	600	2.019935
1.822	600	2.015152
1.833	600	2.013879
1.846	600	2.016314
1.858	600	2.017655
1.869	600	2.021656
1.880	600	2.015934
1.893	600	2.010817
1.904	600	2.019331
1.916	600	2.021879
1.928	600	2.017968
1.940	600	2.015420
1.951	600	2.018259
1.963	600	2.016516
1.975	600	2.020963
1.987	600	2.026975
1.998	600	2.024539
2.011	600	2.015867
2.022	600	2.011353
2.034	600	2.012493
2.045	600	2.013476
2.058	600	2.023645
2.069	600	2.018348
2.081	600	2.013163
2.092	600	2.015689
2.105	600	2.014460
2.116	600	2.013342
2.127	600	2.007509
2.140	600	2.010884
2.152	600	2.013320
2.163	600	2.011509
2.174	600	2.011353
2.187	600	2.011621
2.198	600	2.017633
2.210	600	2.011644
2.221	600	2.013432
2.234	600	2.016538
2.245	600	2.019220
2.257	600	2.008694
2.269	600	2.007666
2.281	600	2.012448
2.292	600	2.016672
2.304	600	2.015018
2.316	600	2.009476
2.328	600	2.007420
2.339	600	2.004090
2.352	600	2.012091
2.363	600	2.011353
2.375	600	2.010079
2.386	600	2.010325
2.399	600	2.013230
2.410	600	2.002011
2.422	600	2.008917
2.433	600	2.010526
2.446	600	2.007330
2.457	600	2.002235
2.468	600	2.003822
2.481	600	2.000358
2.492	600	2.002771
2.504	600	2.006861
2.515	600	2.012068
2.528	600	2.017566
2.539	600	2.017276
2.551	600	2.009632
2.562	600	2.011979
2.575	600	2.009968
2.586	600	2.011063
2.598	600	2.009051
