Time (s)	Throttle (u)	Thrust (N)
3.0020	674	1.144763
3.0140	699	1.265110
3.0250	723	1.403314
3.0380	747	1.543083
3.0490	770	1.676995
3.0610	793	1.818194
3.0730	815	1.965874
3.0850	836	2.108391
3.0960	856	2.242661
3.1080	876	2.382809
3.1200	894	2.508565
3.1320	911	2.637003
3.1430	926	2.765284
3.1560	941	2.906236
3.1670	954	3.035881
3.1780	965	3.158306
3.1900	975	3.274631
3.2020	983	3.381971
3.2140	990	3.480618
3.2250	994	3.558816
3.2370	997	3.637841
3.2490	998	3.710161
3.2610	998	3.766479
3.2720	995	3.800136
3.2850	991	3.820474
3.2960	985	3.833346
3.3080	976	3.841951
3.3190	966	3.840386
3.3320	955	3.821368
3.3430	941	3.797320
3.3550	926	3.747997
3.3660	909	3.683454
3.3790	890	3.613302
3.3900	870	3.526768
3.4020	849	3.434379
3.4140	826	3.330838
3.4250	802	3.215720
3.4370	777	3.096199
3.4480	751	2.960745
3.4610	723	2.814585
3.4720	696	2.674459
3.4840	667	2.536523
3.4950	638	2.385491
3.5080	609	2.239309
3.5190	580	2.102804
3.5310	551	1.960354
3.5430	521	1.806349
3.5550	493	1.642221
3.5660	464	1.478026
3.5780	437	1.329653
3.5900	410	1.183046
3.6020	384	1.030115
3.6130	359	0.884625
3.6260	336	0.746980
3.6370	314	0.607458
3.6490	294	0.480182
3.6600	275	0.377490
3.6730	258	0.281615
3.6840	243	0.186320
3.6950	230	0.111117
3.7070	220	0.044362
3.7190	211	-0.029768
3.7310	205	-0.088769
3.7420	202	-0.127767
3.7550	201	-0.166989
3.7660	202	-0.197852
3.7780	205	-0.220961
3.7890	212	-0.229319
3.8020	220	-0.232627
3.8130	231	-0.243578
3.8250	245	-0.241499
3.8360	261	-0.234683
3.8490	279	-0.216290
3.8600	299	-0.181784
3.8720	321	-0.156776
3.8840	345	-0.120012
3.8960	371	-0.076142
3.9070	398	-0.022483
3.9190	427	0.040295
3.9310	457	0.117442
3.9430	488	0.206836
3.9540	520	0.315071
3.9660	553	0.420646
3.9780	586	0.537641
3.9890	619	0.667732
4.0010	652	0.810629
4.0130	685	0.970623
4.0250	718	1.144629
4.0360	749	1.317630
4.0480	780	1.487792
4.0600	809	1.674783
4.0720	838	1.859963
4.0830	864	2.038216
4.0960	889	2.224559
4.1070	911	2.407348
4.1190	931	2.585511
4.1300	949	2.753260
4.1430	964	2.914952
4.1540	977	3.073806
4.1660	987	3.219810
4.1770	994	3.363802
4.1890	998	3.487189
4.2010	998	3.591020
4.2120	996	3.668592
4.2250	991	3.721894
4.2360	982	3.759819
4.2480	971	3.781833
4.2590	957	3.786839
4.2720	939	3.782011
4.2830	919	3.740533
4.2950	897	3.674492
4.3070	871	3.596920
4.3190	844	3.499480
4.3300	815	3.382910
4.3420	783	3.250293
4.3540	750	3.104759
4.3660	716	2.960566
4.3770	681	2.781039
4.3890	645	2.588238
4.4010	608	2.409918
4.4130	571	2.231733
4.4240	535	2.048653
4.4370	499	1.849951
4.4480	463	1.651496
4.4590	429	1.457510
4.4710	396	1.272642
4.4830	365	1.081427
4.4950	336	0.900515
4.5060	309	0.731962
4.5180	284	0.581332
4.5300	263	0.441296
4.5420	244	0.310690
4.5530	228	0.197070
4.5660	216	0.094266
4.5770	207	0.007062
4.5890	202	-0.070063
4.6000	201	-0.128147
4.6130	203	-0.167279
4.6240	209	-0.194947
4.6360	218	-0.224179
4.6470	231	-0.239644
4.6600	248	-0.238370
4.6710	268	-0.233677
4.6830	291	-0.219396
4.6950	317	-0.192332
4.7070	346	-0.145400
4.7180	378	-0.105843
4.7290	412	-0.058911
4.7420	448	0.010213
4.7530	485	0.105351
4.7650	523	0.216111
4.7770	563	0.346649
4.7890	603	0.485479
4.8000	643	0.629650
4.8120	682	0.799209
4.8240	721	0.982423
4.8360	759	1.174531
4.8470	795	1.383268
4.8590	829	1.595624
4.8710	861	1.811199
4.8830	890	2.022796
4.8940	917	2.241857
4.9070	940	2.447486
4.9180	959	2.650456
4.9300	975	2.854991
4.9410	987	3.041334
4.9540	995	3.212949
4.9650	998	3.373948
4.9760	998	3.514878
4.9880	992	3.618688
5.0000	983	3.685868
5.0120	969	3.729112
5.0230	952	3.750232
5.0360	930	3.736622
5.0470	905	3.700461
5.0590	876	3.632522
5.0700	844	3.539931
5.0830	809	3.416679
5.0940	772	3.271055
5.1060	733	3.110816
5.1180	692	2.936049
5.1300	650	2.745594
5.1410	607	2.539496
5.1530	564	2.337263
5.1650	522	2.130538
5.1770	480	1.906136
5.1880	439	1.673509
5.2000	401	1.445464
5.2120	364	1.225643
5.2230	331	1.015387
5.2350	300	0.814652
5.2470	273	0.628488
5.2590	250	0.454772
5.2700	231	0.304500
5.2820	216	0.178476
5.2940	206	0.065102
5.3060	201	-0.021298
5.3170	201	-0.091987
5.3290	206	-0.153691
5.3410	215	-0.191505
5.3530	230	-0.210591
5.3640	249	-0.223464
5.3770	272	-0.223643
5.3880	300	-0.218145
5.4000	332	-0.201048
5.4110	367	-0.159793
5.4240	405	-0.107139
5.4350	445	-0.038775
5.4470	488	0.054240
5.4590	532	0.164978
5.4710	578	0.297527
5.4820	623	0.448716
5.4930	669	0.621671
5.5060	713	0.806696
5.5170	757	1.012258
5.5290	798	1.244661
5.5400	837	1.482786
5.5530	872	1.725917
5.5640	904	1.974344
5.5760	932	2.214480
5.5880	955	2.440782
5.6000	974	2.673140
5.6110	988	2.899420
5.6230	996	3.107486
5.6350	999	3.293918
5.6470	996	3.443073
5.6580	987	3.566906
5.6700	974	3.650602
5.6820	955	3.695120
5.6940	931	3.712619
5.7050	902	3.699277
5.7180	869	3.640768
5.7290	831	3.544692
5.7400	791	3.420903
5.7520	748	3.254450
5.7640	702	3.065895
5.7760	655	2.875619
5.7870	607	2.656781
5.7990	559	2.429674
5.8110	511	2.194522
5.8230	464	1.935748
5.8340	420	1.673755
5.8470	378	1.423763
5.8580	339	1.184186
5.8700	304	0.951582
5.8810	273	0.730844
5.8940	248	0.543116
5.9050	227	0.370629
5.9170	212	0.218257
5.9290	203	0.093484
5.9410	201	-0.014772
5.9520	204	-0.095943
5.9640	213	-0.157960
5.9760	229	-0.202791
5.9880	250	-0.218167
5.9990	277	-0.219441
6.0100	309	-0.215105
6.0230	345	-0.189919
6.0340	386	-0.147009
