Time (s)	Throttle (u)	Thrust (N)
0.000	100	0.073817
0.009	100	0.077639
0.022	100	0.068767
0.033	500	0.062710
0.045	500	0.142674
0.056	500	0.281436
0.069	500	0.467310
0.080	500	0.682348
0.091	500	0.882569
0.104	500	1.043010
0.115	500	1.148674
0.127	500	1.237041
0.138	500	1.299259
0.151	500	1.332514
0.162	500	1.352248
0.174	500	1.383536
0.185	500	1.408946
0.198	500	1.422266
0.209	500	1.429194
0.221	500	1.433463
0.233	500	1.440257
0.245	500	1.445687
0.256	500	1.448011
0.268	500	1.448056
0.280	500	1.449352
0.292	500	1.449107
0.303	500	1.444614
0.316	500	1.444726
0.327	500	1.446224
0.339	500	1.456392
0.350	500	1.458806
0.363	500	1.452593
0.374	500	1.453219
0.385	500	1.455431
0.397	500	1.451096
0.409	500	1.448928
0.421	500	1.449419
0.432	500	1.452168
0.445	500	1.458158
0.456	500	1.452302
0.468	500	1.446022
0.479	500	1.444279
0.492	500	1.445464
0.503	500	1.444480
0.515	500	1.448883
0.526	500	1.448883
0.539	500	1.446380
0.550	500	1.452302
0.562	500	1.453442
0.574	500	1.455945
0.586	500	1.450738
0.597	500	1.445955
0.609	500	1.446961
0.621	500	1.442715
0.633	500	1.446939
0.644	500	1.452526
0.657	500	1.450917
0.668	500	1.447028
0.679	500	1.451945
0.691	500	1.445754
0.704	500	1.445643
0.715	500	1.445620
0.726	500	1.450738
0.738	500	1.450604
0.750	500	1.445933
0.762	500	1.448079
0.773	500	1.447073
0.786	500	1.441799
0.797	500	1.447721
0.809	500	1.445821
0.820	500	1.445575
0.833	500	1.443676
0.844	500	1.448749
0.856	500	1.455789
0.867	500	1.458135
0.880	500	1.450559
0.891	500	1.451610
0.903	500	1.457443
0.915	500	1.453956
0.927	500	1.451744
0.938	500	1.451632
0.950	500	1.445665
0.962	500	1.442894
0.974	500	1.446939
0.985	500	1.449464
0.996	500	1.446134
1.009	500	1.447073
1.020	500	1.446514
1.032	500	1.446112
1.044	500	1.445419
1.056	500	1.443721
1.067	500	1.442357
1.079	500	1.436390
1.091	500	1.445039
1.103	500	1.447453
1.114	500	1.450827
1.127	500	1.447766
1.138	500	1.445844
1.150	500	1.448123
1.161	500	1.450291
1.174	500	1.444279
1.185	500	1.439318
1.197	500	1.446179
1.208	500	1.448660
1.221	500	1.451811
1.232	500	1.447945
1.244	500	1.442469
1.256	500	1.448414
1.268	500	1.438714
1.279	500	1.437776
1.290	500	1.434334
1.303	500	1.435653
1.314	500	1.435362
1.326	500	1.435072
1.337	500	1.438893
1.350	500	1.446939
1.361	500	1.447162
1.373	500	1.442447
1.385	500	1.440391
1.397	500	1.439988
1.408	500	1.443586
1.420	500	1.445732
1.432	500	1.442111
1.444	500	1.443631
1.455	500	1.445911
1.468	500	1.444525
1.479	500	1.443855
1.491	500	1.433708
1.502	500	1.428613
1.515	500	1.433731
1.526	500	1.438983
1.537	500	1.442201
1.549	500	1.444413
1.562	500	1.437821
1.573	500	1.438647
1.584	500	1.440100
1.597	500	1.443005
1.608	500	1.442559
1.620	500	1.440502
1.631	500	1.439251
1.644	500	1.434848
1.655	500	1.437642
1.667	500	1.440458
1.678	500	1.445307
1.691	500	1.449889
1.702	500	1.444972
1.714	500	1.440346
1.726	500	1.439921
1.738	500	1.438491
1.749	500	1.439988
1.761	500	1.438223
1.773	500	1.436837
1.785	500	1.438781
1.796	500	1.438647
1.807	500	1.442067
1.820	500	1.437262
1.831	500	1.434736
1.843	500	1.433038
1.855	500	1.427965
1.867	500	1.438089
1.878	500	1.442469
1.890	500	1.438156
1.902	500	1.437843
1.914	500	1.436189
1.925	500	1.436502
1.938	500	1.433731
1.949	500	1.430468
1.961	500	1.433373
1.972	500	1.439452
1.985	500	1.440972
1.996	500	1.439832
2.008	500	1.436547
2.019	500	1.439206
2.032	500	1.434379
2.043	500	1.436502
2.055	500	1.442760
2.067	500	1.443586
2.079	500	1.443832
2.090	500	1.440793
2.101	500	1.435005
2.114	500	1.428099
2.125	500	1.429060
2.137	500	1.429082
2.148	500	1.435697
2.161	500	1.438916
2.172	500	1.431898
2.184	500	1.428613
2.196	500	1.430825
2.208	500	1.443497
2.219	500	1.439653
2.231	500	1.433329
2.243	500	1.432949
2.255	500	1.437932
2.266	500	1.431876
2.279	500	1.428054
2.290	500	1.435139
2.302	500	1.435362
2.313	500	1.434535
2.326	500	1.434066
2.337	500	1.437441
2.349	500	1.440055
2.360	500	1.443810
2.373	500	1.435362
2.384	500	1.433708
2.395	500	1.434491
2.408	500	1.435049
2.419	500	1.435697
2.431	500	1.435876
2.442	500	1.434111
2.455	500	1.433150
2.466	500	1.429060
2.478	500	1.424143
2.489	500	1.433284
2.502	500	1.436033
2.513	500	1.430602
2.525	500	1.428009
2.537	500	1.429328
2.549	500	1.428658
2.560	500	1.429730
2.572	500	1.430133
2.584	500	1.431138
2.596	500	1.444860
2.607	500	1.439296
2.620	500	1.420590
2.631	500	1.423160
2.643	500	1.430892
2.654	500	1.430736
2.666	500	1.431228
2.678	500	1.435563
2.689	500	1.430982
2.701	500	1.436301
2.713	500	1.435608
2.725	500	1.432345
2.736	500	1.433395
2.749	500	1.431764
2.760	500	1.431339
2.772	500	1.435094
2.783	500	1.430580
2.796	500	1.430647
2.807	500	1.432055
2.819	500	1.434871
2.830	500	1.430043
2.843	500	1.421238
2.854	500	1.424076
2.866	500	1.432993
2.878	500	1.429663
2.890	500	1.431719
2.901	500	1.435362
2.913	500	1.435943
2.925	500	1.430468
2.936	500	1.427965
2.948	500	1.431742
2.959	500	1.433463
2.972	500	1.435452
2.983	500	1.432524
2.995	500	1.429932
3.007	500	1.429954
3.019	500	1.430446
3.030	500	1.427607
3.042	500	1.425305
3.054	500	1.427719
3.066	500	1.432949
3.077	500	1.427004
3.090	500	1.420322
3.101	500	1.421350
3.113	500	1.425529
3.124	500	1.423115
3.137	500	1.428970
3.148	500	1.427138
3.160	500	1.424903
3.171	500	1.432770
3.184	500	1.433977
3.195	500	1.433463
3.206	500	1.431339
3.219	500	1.435608
3.230	500	1.431742
3.242	500	1.426199
3.253	500	1.424635
3.266	500	1.425618
3.277	500	1.429373
3.289	500	1.425305
3.300	500	1.424612
3.313	500	1.427183
3.324	500	1.435809
3.336	500	1.428345
3.348	500	1.430244
3.360	500	1.436055
3.371	500	1.429797
3.383	500	1.423719
3.395	500	1.428479
3.407	500	1.433395
3.418	500	1.423897
3.431	500	1.421595
3.442	500	1.422758
3.454	500	1.427361
3.465	500	1.422445
3.478	500	1.423182
3.489	500	1.430803
3.500	500	1.433641
3.512	500	1.422892
3.524	500	1.423562
3.536	500	1.424300
3.547	500	1.424076
3.560	500	1.427563
3.571	500	1.424300
3.583	500	1.427004
3.594	500	1.427138
3.607	500	1.414757
3.618	500	1.419495
3.630	500	1.424098
3.641	500	1.425641
3.654	500	1.437083
3.665	500	1.434446
3.677	500	1.426065
3.689	500	1.431854
3.701	500	1.430736
3.712	500	1.426937
3.724	500	1.436435
3.736	500	1.432032
3.748	500	1.432211
3.759	500	1.427294
3.770	500	1.430915
3.783	500	1.429507
3.794	500	1.426400
3.806	500	1.425909
3.818	500	1.427518
3.830	500	1.427786
3.841	500	1.424277
3.853	500	1.423093
3.865	500	1.431563
3.877	500	1.425685
3.888	500	1.420389
3.901	500	1.422489
3.912	500	1.417550
3.924	500	1.420813
3.935	500	1.423942
3.948	500	1.422109
3.959	500	1.418578
3.971	500	1.416433
3.982	500	1.419718
3.995	500	1.422445
4.006	500	1.421819
4.018	500	1.414377
4.030	500	1.413863
4.042	500	1.422333
4.053	500	1.426870
4.064	500	1.419227
4.077	500	1.419539
4.088	500	1.423719
4.100	500	1.419472
4.111	500	1.420612
4.124	500	1.421730
4.135	500	1.424143
4.147	500	1.423406
4.159	500	1.420255
4.171	500	1.428836
4.182	500	1.427920
4.194	500	1.426222
4.206	500	1.423853
4.218	500	1.415740
4.229	500	1.421417
4.242	500	1.428993
4.253	500	1.427004
4.265	500	1.427294
4.276	500	1.422959
4.289	500	1.422467
4.300	500	1.420143
4.312	500	1.417036
4.323	500	1.416299
4.336	500	1.425395
4.347	500	1.422668
4.358	500	1.428144
4.371	500	1.432993
4.382	500	1.425015
4.394	500	1.424814
4.405	500	1.426266
4.418	500	1.420478
4.429	500	1.424478
4.441	500	1.429641
4.452	500	1.422914
4.465	500	1.418176
4.476	500	1.425395
4.488	500	1.427049
4.500	500	1.424568
4.512	500	1.424635
4.523	500	1.428501
4.535	500	1.417841
4.547	500	1.420657
4.559	500	1.424322
4.570	500	1.427026
4.583	500	1.427294
4.594	500	1.421506
4.606	500	1.421484
4.617	500	1.420344
4.630	500	1.425998
4.641	500	1.426669
4.652	500	1.420724
4.664	500	1.420567
4.676	500	1.427473
4.688	500	1.424009
4.699	500	1.425037
4.712	100	1.424590
4.723	100	1.336112
4.735	100	0.931982
4.746	100	0.549240
4.759	100	0.345644
4.770	100	0.241075
4.782	100	0.180108
4.793	100	0.144506
4.806	100	0.107921
4.817	100	0.087517
4.829	100	0.081550
4.841	100	0.078153
4.853	100	0.080366
4.864	100	0.076008
4.876	100	0.069169
4.888	100	0.078421
4.900	100	0.078913
4.911	100	0.075672
4.922	100	0.072745
4.935	100	0.072946
4.946	100	0.069147
4.958	100	0.073482
4.970	100	0.066509
4.982	100	0.070197
4.993	100	0.071739
5.005	100	0.071069
5.017	100	0.073683
5.029	100	0.072901
5.040	100	0.083249
5.053	100	0.080075
5.064	100	0.077617
5.076	100	0.075695
5.087	100	0.075561
5.100	100	0.074086
5.111	100	0.070286
5.123	100	0.070823
5.134	100	0.073885
5.147	100	0.073840
5.158	100	0.073706
5.170	100	0.077147
5.182	100	0.078220
5.194	100	0.068208
5.205	100	0.061258
5.216	100	0.065995
5.229	100	0.073169
5.240	100	0.075784
5.252	100	0.071963
