Time (s)	Throttle (u)	Thrust (N)
0.000	100	0.061772
0.006	100	0.057324
0.018	100	0.056050
0.030	900	0.095205
0.042	900	0.374898
0.053	900	0.962488
0.066	900	1.636500
0.077	900	2.217184
0.088	900	2.681074
0.100	900	3.010403
0.113	900	3.252439
0.124	900	3.421327
0.135	900	3.545295
0.147	900	3.622979
0.159	900	3.672436
0.171	900	3.708932
0.182	900	3.730274
0.195	900	3.743505
0.206	900	3.758099
0.218	900	3.759886
0.229	900	3.759060
0.242	900	3.764021
0.253	900	3.763417
0.265	900	3.758970
0.277	900	3.755238
0.289	900	3.751930
0.300	900	3.762278
0.312	900	3.766189
0.324	900	3.763731
0.336	900	3.765138
0.347	900	3.753293
0.359	900	3.745986
0.371	900	3.750768
0.382	900	3.745203
0.394	900	3.739616
0.407	900	3.743550
0.418	900	3.740398
0.429	900	3.745270
0.441	900	3.741896
0.453	900	3.738543
0.465	900	3.740130
0.476	900	3.745069
0.488	900	3.739996
0.500	900	3.732576
0.512	900	3.733470
0.523	900	3.734007
0.536	900	3.725201
0.547	900	3.727034
0.559	900	3.725805
0.570	900	3.729224
0.583	900	3.732532
0.594	900	3.731705
0.606	900	3.727593
0.618	900	3.731705
0.630	900	3.725626
0.641	900	3.717603
0.653	900	3.717960
0.665	900	3.718854
0.677	900	3.718296
0.688	900	3.719927
0.699	900	3.714161
0.712	900	3.716038
0.723	900	3.718542
0.735	900	3.719994
0.747	900	3.720039
0.759	900	3.714117
0.770	900	3.705914
0.782	900	3.703769
0.794	900	3.708261
0.806	900	3.713647
0.817	900	3.705624
0.829	900	3.700774
0.841	900	3.698182
0.853	900	3.695098
0.864	900	3.702003
0.877	900	3.706071
0.888	900	3.699009
0.900	900	3.701065
0.911	900	3.704440
0.924	900	3.700841
0.935	900	3.692997
0.947	900	3.687030
0.959	900	3.686695
0.971	900	3.695902
0.982	900	3.692640
0.993	900	3.689175
1.006	900	3.693891
1.017	900	3.687097
1.029	900	3.682516
1.040	900	3.687611
1.053	900	3.685957
1.064	900	3.685890
1.076	900	3.685354
1.088	900	3.678336
1.100	900	3.673934
1.111	900	3.677733
1.123	900	3.676750
1.135	900	3.673889
1.147	900	3.683946
1.158	900	3.680325
1.170	900	3.676884
1.182	900	3.680571
1.194	900	3.674314
1.205	900	3.668257
1.218	900	3.671721
1.229	900	3.674448
1.241	900	3.667073
1.252	900	3.669531
1.265	900	3.672727
1.276	900	3.672682
1.287	900	3.666357
1.299	900	3.663430
1.311	900	3.666045
1.323	900	3.666067
1.334	900	3.661977
1.347	900	3.667430
1.358	900	3.670000
1.370	900	3.663564
1.381	900	3.665754
1.394	900	3.660368
1.405	900	3.657932
1.417	900	3.649417
1.429	900	3.650311
1.441	900	3.659027
1.452	900	3.658446
1.464	900	3.659541
1.476	900	3.654893
1.488	900	3.653708
1.499	900	3.658156
1.511	900	3.653641
1.523	900	3.646400
1.535	900	3.644836
1.546	900	3.653798
1.559	900	3.655384
1.570	900	3.651764
1.581	900	3.646221
1.593	900	3.640232
1.605	900	3.644992
1.617	900	3.644277
1.628	900	3.647048
1.640	900	3.654915
1.652	900	3.652122
1.664	900	3.643964
1.675	900	3.637282
1.688	900	3.639137
1.699	900	3.634243
1.711	900	3.634466
1.722	900	3.635762
1.735	900	3.641059
1.746	900	3.633304
1.758	900	3.636366
1.770	900	3.643249
1.782	900	3.641998
1.793	900	3.638824
1.805	900	3.632432
1.817	900	3.633639
1.829	900	3.627538
1.840	900	3.621951
1.852	900	3.625281
1.864	900	3.629460
1.876	900	3.624186
1.887	900	3.625236
1.899	900	3.627426
1.911	900	3.632879
1.922	900	3.629013
1.934	900	3.624990
1.946	900	3.621414
1.958	900	3.625571
1.969	900	3.623023
1.981	900	3.625080
1.993	900	3.625080
2.005	900	3.619090
2.016	900	3.621794
2.029	900	3.623158
2.040	900	3.625705
2.052	900	3.618219
2.063	900	3.621727
2.076	900	3.623068
2.087	900	3.622800
2.099	900	3.619560
2.111	900	3.614509
2.123	900	3.612967
2.134	900	3.611447
2.146	900	3.603960
2.158	900	3.599803
2.170	900	3.603893
2.181	900	3.595624
2.192	900	3.594686
2.205	900	3.597345
2.216	900	3.591311
2.228	900	3.592808
2.240	900	3.598373
2.252	900	3.596049
2.263	900	3.593412
2.275	900	3.585388
2.287	900	3.581567
2.299	900	3.588584
2.310	900	3.594976
2.322	900	3.592339
2.334	900	3.584472
2.346	900	3.581589
2.357	900	3.583779
2.370	900	3.587378
2.381	900	3.582751
2.393	900	3.582818
2.404	900	3.582438
2.417	900	3.571130
2.428	900	3.567845
2.440	900	3.580517
2.451	900	3.581701
2.464	900	3.582796
2.475	900	3.582505
2.486	900	3.584338
2.499	900	3.582260
2.511	900	3.578036
2.522	900	3.576628
2.533	900	3.579824
2.546	900	3.577432
2.557	900	3.574795
2.569	900	3.565387
2.581	900	3.563509
2.593	900	3.571733
2.604	900	3.576069
2.616	900	3.572426
2.628	900	3.564828
2.640	900	3.563934
2.651	900	3.563733
2.663	900	3.570929
2.675	900	3.570616
2.687	900	3.569163
2.698	900	3.570549
2.711	900	3.566929
2.722	900	3.560760
2.734	900	3.557274
2.745	900	3.564001
2.758	900	3.561632
