Time (s)	Throttle (u)	Thrust (N)
0.000	100	0.068901
0.008	100	0.063314
0.021	100	0.061526
0.032	400	0.072342
0.044	400	0.182186
0.055	400	0.336369
0.068	400	0.501928
0.079	400	0.645205
0.091	400	0.749863
0.103	400	0.822340
0.115	400	0.870188
0.126	400	0.904538
0.138	400	0.942687
0.150	400	0.963359
0.162	400	0.987429
0.173	400	1.001643
0.185	400	1.013487
0.197	400	1.008727
0.209	400	1.011163
0.220	400	1.023120
0.233	400	1.016840
0.244	400	1.012437
0.256	400	1.013644
0.267	400	1.007811
0.280	400	1.009375
0.291	400	1.017443
0.303	400	1.021287
0.314	400	1.017421
0.326	400	1.017398
0.338	400	1.021555
0.349	400	1.018516
0.362	400	1.011901
0.373	400	1.010336
0.385	400	1.013689
0.396	400	1.020639
0.409	400	1.014493
0.420	400	1.014046
0.432	400	1.009845
0.444	400	1.013577
0.456	400	1.017309
0.467	400	1.019432
0.479	400	1.016504
0.491	400	1.013286
0.503	400	1.020415
0.514	400	1.023164
0.526	400	1.017108
0.538	400	1.007051
0.550	400	1.006090
0.561	400	1.016281
0.574	400	1.020125
0.585	400	1.016862
0.597	400	1.014605
0.608	400	1.013599
0.621	400	1.011901
0.632	400	1.014404
0.643	400	1.015812
0.655	400	1.017622
0.667	400	1.018471
0.679	400	1.006738
0.690	400	1.011498
0.703	400	1.015476
0.714	400	1.016504
0.726	400	1.015521
0.737	400	1.017354
0.750	400	1.017086
0.761	400	1.016750
0.773	400	1.015164
0.784	400	1.015521
0.797	400	1.013152
0.808	400	1.004771
0.820	400	1.002984
0.832	400	1.010806
0.844	400	1.015767
0.855	400	1.012817
0.867	400	1.021220
0.879	400	1.014873
0.891	400	1.014493
0.902	400	1.012348
0.915	400	1.009241
0.926	400	1.014203
0.938	400	1.022114
0.949	400	1.017108
0.962	400	1.007073
0.973	400	1.010247
0.984	400	1.013778
0.996	400	1.015968
1.008	400	1.020237
1.020	400	1.020371
1.031	400	1.023321
1.044	400	1.016504
1.055	400	1.015499
1.067	400	1.017667
1.078	400	1.010738
1.091	400	1.011364
1.102	400	1.016259
1.114	400	1.018203
1.125	400	1.014068
1.138	400	1.008303
1.149	400	1.012392
1.161	400	1.014247
1.173	400	1.013599
1.185	400	1.014337
1.196	400	1.014135
1.208	400	1.018315
1.220	400	1.015499
1.232	400	1.010247
1.243	400	1.014001
1.256	400	1.004704
1.267	400	1.006604
1.278	400	1.010783
1.290	400	1.012884
1.302	400	1.016437
1.314	400	1.016393
1.325	400	1.005554
1.337	400	1.003855
1.349	400	0.998357
1.361	400	1.009800
1.372	400	1.012146
1.385	400	1.013621
1.396	400	1.014582
1.408	400	1.017354
1.419	400	1.015454
1.432	400	1.015409
1.443	400	1.019611
1.455	400	1.015052
1.466	400	1.013599
1.479	400	1.017264
1.490	400	1.018449
1.502	400	1.013912
1.514	400	1.007431
1.526	400	1.004168
1.537	400	1.002961
1.549	400	1.008660
1.561	400	1.014918
1.573	400	1.016259
1.584	400	1.013823
1.597	400	1.010448
1.608	400	1.006224
1.619	400	1.008951
1.631	400	1.012236
1.643	400	1.011186
1.655	400	1.011722
1.666	400	1.015320
1.678	400	1.015946
1.690	400	1.016594
1.702	400	1.010694
1.713	400	1.014940
1.726	400	1.014784
1.737	400	1.002514
1.749	400	1.003520
1.760	400	1.008168
1.773	400	1.014135
1.784	400	1.007029
1.796	400	1.005017
1.807	400	1.011074
1.820	400	1.012750
1.831	400	1.012929
1.843	400	1.011588
1.855	400	1.013890
1.867	400	1.011901
1.878	400	1.001196
1.890	400	1.002738
1.902	400	1.000525
1.914	400	1.002380
1.925	400	1.008973
1.938	400	1.015186
1.949	400	1.009889
1.960	400	1.010962
1.972	400	1.015834
1.984	400	1.016169
1.996	400	1.009040
2.007	400	1.010336
2.019	400	1.012057
2.031	400	1.003118
2.043	400	1.009554
2.054	400	1.013130
2.067	400	1.008437
2.078	400	1.007856
2.090	400	1.008906
2.101	400	1.007051
2.114	400	1.005710
2.125	400	1.004436
2.137	400	1.002715
2.148	400	1.008079
2.161	400	1.012102
2.172	400	1.006582
2.184	400	1.010537
2.196	400	1.016236
2.208	400	1.017264
2.219	400	1.010537
2.231	400	1.006716
2.243	400	1.008705
2.255	400	1.013443
2.266	400	1.007163
2.277	400	1.006403
2.290	400	1.012795
2.301	400	1.014381
2.313	400	1.013510
2.325	400	1.008370
2.337	400	1.001039
2.348	400	1.010493
2.360	400	1.014203
2.372	400	1.006805
2.384	400	0.999877
2.395	400	1.002559
2.408	400	1.007766
2.419	400	1.010247
2.431	400	1.005218
2.442	400	1.000302
2.455	400	1.003833
2.466	400	1.004079
2.478	400	1.007811
2.489	400	1.006313
2.502	400	1.009509
2.513	400	1.012035
2.525	400	1.010247
2.537	400	1.009509
2.549	400	1.015074
2.560	400	1.010068
2.572	400	1.012102
2.584	400	1.015722
2.596	400	1.011610
2.607	400	1.009062
2.618	400	1.013331
2.631	400	1.008727
2.642	400	1.004838
2.654	400	1.000972
2.666	400	1.001777
2.678	400	1.007476
2.689	400	1.006045
2.701	400	1.008347
2.713	400	1.006917
2.725	400	1.007140
2.736	400	1.012303
2.749	400	1.015476
2.760	400	1.011588
2.772	400	1.003609
2.783	400	1.000302
2.796	400	1.004034
2.807	400	1.004079
2.819	400	1.004950
2.830	400	1.007230
2.843	400	1.010180
2.854	400	1.004861
2.866	400	1.003475
2.878	400	1.005732
2.890	400	1.000860
2.901	400	1.008303
2.913	400	1.009241
2.925	400	1.003430
2.936	400	1.003095
2.948	400	1.000927
2.959	400	1.001129
2.972	400	1.002693
2.983	400	1.005218
2.995	400	0.999430
3.007	400	1.001732
3.019	400	1.003453
3.030	400	1.010068
3.042	400	1.006559
3.054	400	1.004101
3.066	400	1.003363
3.077	400	1.004883
3.090	400	1.010180
3.101	400	1.009196
3.113	400	1.000771
3.124	400	1.002760
3.137	400	1.001777
3.148	400	1.004727
3.160	400	1.007744
3.171	400	1.002492
3.184	400	1.001240
3.195	400	1.000816
3.207	400	1.004771
3.219	400	1.008213
3.231	400	1.008794
3.242	400	1.009688
3.253	400	1.007051
3.266	400	1.001687
3.277	400	1.003252
3.289	400	1.001687
3.300	400	1.010694
3.313	400	1.007945
3.324	400	1.005330
3.336	400	1.008749
3.348	400	1.004905
3.360	400	1.003319
3.371	400	1.003185
3.383	400	1.006872
3.395	400	1.007721
3.407	400	1.005375
3.418	400	1.008526
3.431	400	1.002090
3.442	400	1.005062
3.454	400	1.007498
3.465	400	1.003900
3.478	400	1.009174
3.489	400	1.003632
3.501	400	1.003877
3.512	400	1.017600
3.525	400	1.013756
3.536	400	1.006939
3.548	400	1.010113
3.560	400	1.007252
3.572	400	0.998626
3.583	400	1.007252
3.594	400	1.013599
3.607	400	1.010671
3.618	400	1.002604
3.630	400	1.006492
3.641	400	1.004079
3.654	400	1.001263
3.665	400	1.009465
3.677	400	1.004034
3.689	400	1.003252
3.701	400	1.004235
3.712	400	1.003542
3.724	400	1.002067
3.736	400	0.998469
3.748	400	1.001844
3.759	400	1.010627
3.772	400	1.004481
3.783	400	1.005419
3.795	400	1.006179
3.806	400	1.010314
3.819	400	1.012146
3.830	400	1.013733
3.842	400	1.010381
3.853	400	1.010470
3.866	400	1.002961
3.877	400	1.001084
3.888	400	0.998514
3.901	400	1.001821
3.912	400	1.005554
3.924	400	1.009778
3.935	400	1.007587
3.948	400	1.004995
3.959	400	1.004347
3.971	400	1.005218
3.982	400	1.008392
3.995	400	1.014426
4.006	400	1.009442
4.018	400	1.004905
4.030	400	1.002090
4.042	400	1.003498
4.053	400	1.002738
4.065	400	1.012146
4.077	400	1.009800
4.089	400	1.003922
4.100	400	1.004950
4.112	400	1.004838
4.124	400	1.005799
4.136	400	1.007431
4.147	400	1.005934
4.160	400	1.002537
4.171	400	1.003118
4.183	400	1.007341
4.194	400	1.006604
4.206	400	1.003095
4.218	400	1.004928
4.229	400	1.008772
4.242	400	1.002984
4.253	400	0.993217
4.265	400	1.004548
4.276	400	1.005799
4.289	400	1.008191
4.300	400	1.004950
4.312	400	0.994692
4.323	400	1.000123
4.336	400	1.003073
