Time (s)	Throttle (u)	Thrust (N)
2.961	800	3.048820
2.972	800	3.044686
2.984	800	3.032394
2.995	800	3.033422
3.008	800	3.036775
3.019	800	3.035277
3.031	800	3.042004
3.043	800	3.047077
3.055	800	3.043546
3.066	800	3.040127
3.077	800	3.027589
3.090	800	3.033333
3.101	800	3.036283
3.113	800	3.033489
3.125	800	3.033802
3.137	800	3.026986
3.148	800	3.032506
3.160	800	3.033333
3.172	800	3.026695
3.184	800	3.026807
3.195	800	3.027366
3.207	800	3.023499
3.219	800	3.027120
3.231	800	3.030204
3.242	800	3.028528
3.255	800	3.029914
3.266	800	3.026204
3.278	800	3.027969
3.289	800	3.026874
3.302	800	3.030092
3.313	800	3.033199
3.325	800	3.028439
3.336	800	3.030897
3.349	800	3.028573
3.360	800	3.024416
3.371	800	3.022851
3.384	800	3.022025
3.395	800	3.022963
3.407	800	3.022270
3.418	800	3.022918
3.431	800	3.030204
3.442	800	3.028483
3.454	800	3.023790
3.465	800	3.026941
3.478	800	3.026517
3.489	800	3.020281
3.501	800	3.026315
3.513	800	3.022941
3.525	800	3.027969
3.536	800	3.033132
3.548	800	3.025332
3.560	800	3.021600
3.572	800	3.020952
3.583	800	3.021019
3.596	800	3.020840
3.607	800	3.019365
3.619	800	3.025690
3.630	800	3.025131
3.643	800	3.025466
3.654	800	3.021913
3.665	800	3.024528
3.677	800	3.019521
3.689	800	3.018717
3.701	800	3.026762
3.712	800	3.028305
3.725	800	3.020728
3.736	800	3.019745
3.748	800	3.016169
3.759	800	3.017756
3.772	800	3.018672
3.783	800	3.016035
3.795	800	3.019142
3.806	800	3.018560
3.819	800	3.024282
3.830	800	3.024550
3.842	800	3.017689
3.854	800	3.018851
3.866	800	3.014560
3.877	800	3.018784
3.889	800	3.018695
3.901	800	3.016124
3.913	800	3.019007
3.924	800	3.019432
3.937	800	3.018069
3.948	800	3.021376
3.959	800	3.021399
3.971	800	3.019700
3.983	800	3.019209
3.995	800	3.018650
4.006	800	3.015163
4.018	800	3.013309
4.030	800	3.009263
4.042	800	3.011610
4.053	800	3.015543
4.066	800	3.015789
4.077	800	3.018762
4.089	800	3.021198
4.100	800	3.016147
4.113	800	3.005464
4.124	800	3.003699
4.136	800	3.012973
4.147	800	3.020505
4.160	800	3.015253
4.171	800	3.006559
4.183	800	3.003788
4.195	800	3.010895
4.207	800	3.007096
4.218	800	3.007364
4.230	800	3.018628
4.242	800	3.010627
4.253	800	3.005241
4.265	800	3.007297
4.277	800	3.013823
4.289	800	3.014515
